fold,baseline_mae,baseline_rmse,random_forest_mae,random_forest_rmse,xgboost_mae,xgboost_rmse
1,0.006216420864521124,0.008241781548477902,0.006241239255642101,0.00816493760765933,0.00666482367857963,0.008778102270784651
2,0.009495792445018723,0.018685202510472763,0.009108489925933608,0.01782452506364284,0.009300536734634142,0.017574243025015195
3,0.006762150089093519,0.00822075815540945,0.006697818284287693,0.008347777583442802,0.006778074579868122,0.008440083732304511
4,0.00600796762725915,0.006947355434290442,0.004872732500297277,0.005868995446066371,0.00480806713811151,0.005896788885005363
5,0.006067967106523963,0.007353761347371179,0.005489036698928731,0.007117299611588937,0.005460534039958128,0.007118484337076335
